title,price,currency,status,url,business_score,server_score,description
Lenovo ThinkCentre M700,,USD,Unknown,https://salemtechsperts.com/products/lenovo-thinkcentre-m700,6.50,6.00,Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEONOTE: This device only has DisplayPort and VGA - No HDMI!Display NOT included. No Peripherals included.Specifications:Intel Core i5-6400T8GB DDR4 RAM2x 4GB stickIntel UHD 530 integrated graphics256GB SATA SSDWindows 11 Pro LicensePower adapter includedShips with Windows 11 Pro Installed
Lenovo ThinkCentre M710q,,USD,Unknown,https://salemtechsperts.com/products/lenovo-thinkcentre-m710q,7.50,8.00,Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEONOTE: This device only has DisplayPort and VGA - No HDMI!Display NOT included. No Peripherals included.Specifications:Intel Core i5-6500T8GB DDR4 RAM2x 4GB stickIntel HD 530 integrated graphics256GB NVMe SSDWindows 11 Pro LicensePower adapter includedShips with Windows 11 Pro Installed
HP EliteBook 850 G7,,USD,Unknown,https://salemtechsperts.com/products/hp-elitebook-850-g7,4.00,6.50,Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:i5 10th gen processor with vProIntel UHD Graphics16GB RAM- 1x 16GB stickNEW 512 GB NVMe1920x1080 15in Touchscreen displayBacklit keyboardWindows 11 ProCharger includedFingerprint readerWindows Hello Compatible IR
HP EliteBook 850 G8,,USD,Unknown,https://salemtechsperts.com/products/hp-elitebook-850-g8,4.00,6.50,Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:i5 11th gen (Optional vPro)Intel Iris Xe Graphics16GB RAM- 2x 8GB stickNEW 512 GB NVMe1920x1080 15in display (Optional Touchscreen)Backlit keyboardWindows 11 ProCharger includedFingerprint readerOptional Windows Hello Compatible IR
Lenovo ThinkCentre M70q,,USD,Unknown,https://salemtechsperts.com/products/lenovo-thinkcentre-m70q,8.50,9.50,Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEODisplay NOT included. No Peripherals included.Specifications:Intel Core i5-10600T16GB DDR4 RAM2x 8GB stickIntel UHD 630 integrated graphics1TB NVMe SSDWindows 11 Pro LicensePower adapter includedShips with Windows 11 Pro Installed
Lenovo ThinkCentre M720q,,USD,Unknown,https://salemtechsperts.com/products/lenovo-thinkcentre-m720q,8.00,9.50,Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEODisplay NOT included. No Peripherals included.Specifications:Intel Core i5-8600T16GB DDR4 RAM2x 8GB stickIntel UHD 630 integrated graphics512GB NVMe SSDWindows 11 Pro LicensePower adapter includedShips with Windows 11 Pro Installed
Dell OptiPlex 3050 Micro,,USD,Unknown,https://salemtechsperts.com/products/dell-optiplex-3050-micro,6.00,9.00,Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:Intel Core i3-6100T16GB DDR4 RAM2x 8GB stickIntel HD 530 integrated graphics256GB NVMeWindows 11 ProPower adapter included
Dell Latitude 5510,,USD,Unknown,https://salemtechsperts.com/products/dell-latitude-5510,6.50,11.50,"Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:Intel Core i7-10810U32GB DDR4 RAM2x 16GB stickIntel UHD integrated graphics15.6"" 1920x1080 displayNO WEBCAMBacklit keyboard512GB NVMeWindows 11 ProCharger included"
Dell OptiPlex 5060 Micro,,USD,Unknown,https://salemtechsperts.com/products/dell-optiplex-5060,4.50,7.00,Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEONOTE: This device only has DisplayPort and VGA - No HDMI!Specifications:Intel Core i5-8500T8 or 16GB DDR4 RAMIntel UHD 630 integrated graphics256GB NVMeWindows 11 Pro LicensePower adapter includedShips with Linux Mint installed
Dell Precision 5540,,USD,Unknown,https://salemtechsperts.com/products/dell-precision-5540,6.00,9.00,"Hardware is covered for 1 year from the date of purchase with The Greatest Warranty That's Ever Lived!Freshly serviced in-shop with gooch removal and new thermal paste!Important Note: The device in the photo may not be the device you receive. All devices sold will be in reasonable condition (no major defects) butmay have minor scuffs on the display and bodyWant to know more about the devices and the refurbishment process? Check outTHIS VIDEOSpecifications:Intel Core i5-9400H16GB DDR4 RAM2x 8GB stickIntel UHD 630 integrated graphicsNvidia Quadro T1000 dedicated graphics (optional)15.6"" 1920x1080 displayBacklit keyboard256GB NVMeWindows 11 ProCharger included"
