company,role_title,location,pay,source_url,responsibilities,recommended_tech_stack,posted_at,scraped_at
Kastle,Founder Intern (now and Summer 2026),"San Francisco, CA, US",$8K - $8.75K / monthly,https://www.workatastartup.com/companies/kastle/jobs/drQwng0-founder-intern-now-and-summer-2026,,,3 months,2025-10-25T23:46:12.108240
Conductor Quantum,Intern – Summer 2026,"San Francisco, CA, US",$6K / monthly,https://www.workatastartup.com/companies/conductor-quantum/jobs/a2NEN5i-intern-summer-2026,,"Material science, Torch/PyTorch, ML, Python, OpenCV, Machine Learning, Deep Learning, Reinforcement learning (RL), Image Processing, Computer Vision, FPGAs",2 months,2025-10-25T23:46:12.109249
Aravolta,Intern,"San Francisco, CA, US / Remote (US)",$4K - $15K / monthly,https://www.workatastartup.com/companies/aravolta/jobs/xNqAuCd-intern,,"Node.js, React, TypeScript, Amazon Web Services (AWS)",2 months,2025-10-25T23:46:12.109249
Reacher,Software Engineer Intern (Fall 2025/Summer 2026),"San Francisco, CA, US / Los Angeles, CA, US",$6K - $10K / monthly,https://www.workatastartup.com/companies/reacher/jobs/HxPjZJm-software-engineer-intern-fall-2025-summer-2026,,,2 months,2025-10-25T23:46:12.109249
SubImage,Full Stack Software Engineer Intern [Summer 2026],"San Francisco, CA, US",$6K,https://www.workatastartup.com/companies/subimage/jobs/WLWS24s-full-stack-software-engineer-intern-summer-2026,,,about 2 months,2025-10-25T23:46:12.109249
Tandem,Summer 2026 Eng Intern,"San Francisco, CA, US",$5K - $8K / monthly,https://www.workatastartup.com/companies/tandem-2/jobs/eCSgoZA-summer-2026-eng-intern,,TypeScript,2 months,2025-10-25T23:46:12.109249
CreativeMode,SWE Intern (Summer 2026),"San Francisco, CA, US",$5.8K - $7.5K / monthly,https://www.workatastartup.com/companies/creativemode/jobs/SqRWS9Z-swe-intern-summer-2026,,"Next.js, Go, Python, TypeScript",2 months,2025-10-25T23:46:12.109249
Ember,Full Stack Engineering Intern (Summer 2026),"San Francisco, CA, US",$6K - $10K / monthly,https://www.workatastartup.com/companies/ember/jobs/OTB0qby-full-stack-engineering-intern-summer-2026,,"Node.js, Python, React, TypeScript",about 2 months,2025-10-25T23:46:12.109249
14.ai,Full Stack Engineering Internship (now and Summer 2026),"San Francisco, CA, US",$5K - $10K / monthly,https://www.workatastartup.com/companies/14-ai/jobs/KoEfdhc-full-stack-engineering-internship-now-and-summer-2026,,,6 months,2025-10-25T23:46:12.109249
Circleback,Software Engineering Intern (Summer 2026),"San Francisco, CA, US",$7K - $10K / monthly,https://www.workatastartup.com/companies/circleback/jobs/oy71IJv-software-engineering-intern-summer-2026,,"React, React Native, TypeScript, PostgreSQL",2 months,2025-10-25T23:46:12.109249
Browser Use,Summer Software Engineering Intern (now and Summer 2026),"San Francisco, CA, US",$6K - $16K / monthly,https://www.workatastartup.com/companies/browser-use/jobs/JwGWpEP-summer-software-engineering-intern-now-and-summer-2026,,Python,6 months,2025-10-25T23:46:12.109249
Orchids,Full Stack Engineer (Intern),"San Francisco, CA, US / Remote (US)",$6K - $12K / monthly,https://www.workatastartup.com/companies/orchids/jobs/NS0hAue-full-stack-engineer-intern,,TypeScript,3 months,2025-10-25T23:46:12.109249
Bindwell,Machine Learning Intern (Summer 2026),"San Francisco, CA, US",$6.5K - $10K / monthly,https://www.workatastartup.com/companies/bindwell/jobs/k3dfghz-machine-learning-intern-summer-2026,,"Machine learning, Torch/PyTorch, ML, Deep Learning",4 months,2025-10-25T23:46:12.109249
CTGT,Software Engineering Intern (Summer 2026),"San Francisco, CA, US",$8K - $12K / monthly,https://www.workatastartup.com/companies/ctgt/jobs/VHfSxi6-software-engineering-intern-summer-2026,,"JavaScript, Python, Distributed Systems",2 months,2025-10-25T23:46:12.109249
Corgi,GTM Builder - Summer '26,"San Francisco, CA, US",$60K - $100K,https://www.workatastartup.com/companies/corgi/jobs/CPGeBHx-gtm-builder-summer-26,,,2 months,2025-10-25T23:46:12.109249
Morph,Machine Learning Engineering Intern ,"San Francisco, CA, US",$6K - $10K / monthly,https://www.workatastartup.com/companies/morph/jobs/6enPRLQ-machine-learning-engineering-intern,,,3 months,2025-10-25T23:46:12.109249
Cekura,AI Engineer Intern (Summer 2026),"San Francisco, CA, US",$4.5K - $5K / monthly,https://www.workatastartup.com/companies/cekura-ai/jobs/ti8zM06-ai-engineer-intern-summer-2026,,,2 months,2025-10-25T23:46:12.109249
SimCare AI,"Technical Intern (in person, summer '26)","San Francisco, CA, US",$7K - $11K,https://www.workatastartup.com/companies/simcare-ai/jobs/TuIKb5M-technical-intern-in-person-summer-26,,Next.js,about 1 year,2025-10-25T23:46:12.109249
SafetyKit,"Full Stack Engineer, Intern Summer 2026","San Francisco, CA, US",$12.5K - $16.5K / monthly,https://www.workatastartup.com/companies/safetykit/jobs/eQpUzRD-full-stack-engineer-intern-summer-2026,,"TypeScript, SQL, Amazon Web Services (AWS)",6 months,2025-10-25T23:46:12.109249
Promptless,Software Engineering Intern (Summer 2026),"San Francisco, CA, US",$6K - $15K / monthly,https://www.workatastartup.com/companies/promptless/jobs/VvCG8o1-software-engineering-intern-summer-2026,,,2 months,2025-10-25T23:46:12.109249
ThirdLayer,2026 Summer AI/ML Engineer Intern,"San Francisco, CA, US",$6K - $10K / monthly,https://www.workatastartup.com/companies/thirdlayer/jobs/jgOpS9K-2026-summer-ai-ml-engineer-intern,,,about 2 months,2025-10-25T23:46:12.109249
